month,peak_load_MW
2019-01,138963.0
2019-02,132396.0
2019-03,120826.0
2019-04,102538.0
2019-05,114821.0
2019-06,136567.0
2019-07,144229.0
2019-08,142105.0
2019-09,139587.0
2019-10,126537.0
2019-11,113885.0
2019-12,121418.0
2020-01,120097.0
2020-02,115629.0
2020-03,99328.0
2020-04,86270.0
2020-05,108513.0
2020-06,131587.0
2020-07,144562.0
2020-08,141606.0
2020-09,126563.0
2020-10,91309.0
2020-11,100919.0
2020-12,115179.0
2021-01,117995.0
2021-02,117372.0
2021-03,107117.0
2021-04,96673.0
2021-05,120409.0
2021-06,142680.0
2021-07,144061.0
2021-08,144883.0
2021-09,133078.0
2021-10,103541.0
2021-11,105439.0
2021-12,109990.0
2022-01,129894.0
2022-02,124411.0
2022-03,110873.0
2022-04,95581.0
2022-05,138849.0
2022-06,139955.0
2022-07,144882.0
2022-08,144212.0
2022-09,127753.0
2022-10,96337.0
2022-11,113276.0
2022-12,135328.0
2023-01,109647.0
2023-02,121760.0
2023-03,111687.0
2023-04,98646.0
2023-05,107381.0
2023-06,124205.0
2023-07,144775.0
2023-08,138385.0
2023-09,144536.0
2023-10,112054.0
2023-11,117654.0
2023-12,114693.0
2024-01,133949.0
2024-02,112347.0
2024-03,106217.0
2024-04,106580.0
2024-05,121435.0
2024-06,144179.0
2024-07,144946.0
2024-08,144726.0
2024-09,120191.0
2024-10,97712.0
2024-11,103692.0
2024-12,121008.0
2025-01,144420.0
2025-02,128809.0
2025-03,115234.0
2025-04,103210.0
2025-05,110676.0
2025-06,144274.0
2025-07,144991.0
2025-08,144795.0
2025-09,122368.0
2025-10,110666.0
